service_name,status,updated_time
HTTP,UP,2025-04-20 13:53:00
DB,DOWN,2025-03-19 11:22:00
DB,UP,2025-04-29 04:10:00
DB,UP,2025-04-25 14:07:00
FTP,UP,2025-03-23 23:17:00
FTP,UP,2025-03-08 21:08:00
FTP,UP,2025-03-20 11:07:00
MAIL,DOWN,2025-04-20 02:22:00
HTTP,DOWN,2025-05-10 19:09:00
AUTH,DOWN,2025-04-12 04:56:00
AUTH,UP,2025-03-09 02:57:00
AUTH,DOWN,2025-03-28 22:19:00
AUTH,UP,2025-05-08 15:24:00
HTTP,UP,2025-05-03 02:30:00
FTP,DOWN,2025-05-03 02:55:00
HTTP,UP,2025-04-12 22:58:00
FTP,UP,2025-04-28 07:14:00
MAIL,DOWN,2025-04-24 03:24:00
MAIL,DOWN,2025-05-06 06:37:00
DB,UP,2025-03-15 09:49:00
HTTP,UP,2025-04-15 14:20:00
HTTP,UP,2025-04-22 13:52:00
FTP,DOWN,2025-03-18 05:23:00
MAIL,UP,2025-04-07 11:33:00
AUTH,DOWN,2025-04-20 16:05:00
FTP,UP,2025-03-30 11:15:00
AUTH,DOWN,2025-05-07 03:04:00
FTP,DOWN,2025-04-03 12:59:00
FTP,UP,2025-04-22 14:57:00
DB,DOWN,2025-04-02 16:36:00
MAIL,UP,2025-03-26 17:26:00
DB,DOWN,2025-05-03 04:02:00
MAIL,DOWN,2025-03-10 22:39:00
HTTP,DOWN,2025-05-15 03:04:00
FTP,UP,2025-05-15 03:29:00
DB,DOWN,2025-04-09 14:35:00
DB,UP,2025-03-12 22:54:00
MAIL,DOWN,2025-04-29 16:19:00
AUTH,DOWN,2025-03-25 17:54:00
AUTH,DOWN,2025-03-11 11:04:00
FTP,DOWN,2025-04-17 14:08:00
FTP,UP,2025-04-11 01:09:00
AUTH,DOWN,2025-04-18 04:45:00
FTP,UP,2025-03-14 23:31:00
MAIL,DOWN,2025-03-31 20:43:00
FTP,DOWN,2025-04-25 13:55:00
HTTP,UP,2025-03-23 22:13:00
DB,UP,2025-04-16 23:52:00
HTTP,UP,2025-04-18 20:01:00
HTTP,UP,2025-04-28 22:16:00
MAIL,UP,2025-05-02 10:31:00
FTP,DOWN,2025-05-09 17:36:00
HTTP,DOWN,2025-05-08 01:39:00
AUTH,DOWN,2025-04-13 09:28:00
HTTP,DOWN,2025-04-14 03:26:00
AUTH,UP,2025-04-05 09:05:00
AUTH,UP,2025-04-19 10:44:00
MAIL,DOWN,2025-04-10 01:15:00
FTP,UP,2025-04-06 23:06:00
HTTP,DOWN,2025-04-03 08:48:00
AUTH,DOWN,2025-03-24 23:45:00
HTTP,UP,2025-05-16 08:42:00
MAIL,UP,2025-04-25 20:16:00
FTP,UP,2025-03-09 09:33:00
DB,DOWN,2025-04-01 14:26:00
AUTH,UP,2025-03-27 10:07:00
MAIL,DOWN,2025-03-13 09:21:00
DB,UP,2025-04-20 02:30:00
MAIL,UP,2025-04-09 05:31:00
AUTH,UP,2025-04-18 12:03:00
HTTP,DOWN,2025-05-15 09:09:00
FTP,DOWN,2025-03-15 04:24:00
HTTP,DOWN,2025-04-01 17:55:00
MAIL,DOWN,2025-04-17 00:58:00
AUTH,UP,2025-05-09 20:02:00
DB,UP,2025-04-07 22:11:00
HTTP,UP,2025-04-26 15:32:00
FTP,UP,2025-04-22 01:27:00
AUTH,DOWN,2025-03-11 01:25:00
FTP,DOWN,2025-04-11 05:56:00
AUTH,DOWN,2025-03-09 19:28:00
DB,DOWN,2025-04-03 22:39:00
FTP,DOWN,2025-04-20 03:27:00
DB,DOWN,2025-03-31 18:28:00
DB,DOWN,2025-05-06 00:12:00
HTTP,DOWN,2025-03-29 10:06:00
MAIL,UP,2025-04-05 05:37:00
MAIL,UP,2025-05-10 22:03:00
MAIL,DOWN,2025-03-31 08:59:00
HTTP,DOWN,2025-03-29 07:41:00
HTTP,UP,2025-04-30 12:28:00
MAIL,DOWN,2025-04-10 01:24:00
AUTH,DOWN,2025-04-11 22:56:00
MAIL,UP,2025-03-11 01:48:00
HTTP,UP,2025-03-22 20:02:00
DB,DOWN,2025-03-16 01:04:00
MAIL,UP,2025-03-27 14:19:00
DB,DOWN,2025-04-12 02:11:00
AUTH,UP,2025-05-03 01:57:00
AUTH,UP,2025-03-27 21:44:00
DB,DOWN,2025-03-30 07:36:00
MAIL,UP,2025-05-11 03:23:00
MAIL,UP,2025-04-10 06:53:00
HTTP,DOWN,2025-04-02 10:00:00
AUTH,UP,2025-03-16 09:10:00
DB,DOWN,2025-05-14 07:45:00
MAIL,DOWN,2025-04-14 15:19:00
FTP,DOWN,2025-04-22 10:52:00
FTP,UP,2025-04-07 09:43:00
HTTP,DOWN,2025-05-13 23:21:00
HTTP,DOWN,2025-04-18 06:07:00
MAIL,UP,2025-03-22 22:51:00
MAIL,DOWN,2025-03-11 22:46:00
HTTP,UP,2025-03-30 12:40:00
AUTH,UP,2025-03-10 20:11:00
FTP,UP,2025-03-17 07:36:00
FTP,UP,2025-03-13 14:35:00
AUTH,UP,2025-04-09 10:03:00
AUTH,DOWN,2025-03-31 01:24:00
AUTH,DOWN,2025-04-08 00:16:00
FTP,UP,2025-04-22 00:44:00
AUTH,UP,2025-03-25 07:06:00
AUTH,UP,2025-03-10 14:38:00
AUTH,DOWN,2025-03-28 06:49:00
HTTP,DOWN,2025-03-25 06:38:00
FTP,DOWN,2025-05-08 17:03:00
FTP,UP,2025-05-12 04:46:00
MAIL,UP,2025-04-14 19:09:00
FTP,DOWN,2025-04-09 18:50:00
FTP,UP,2025-03-21 16:15:00
DB,UP,2025-04-28 07:52:00
AUTH,UP,2025-03-24 14:41:00
FTP,DOWN,2025-05-07 06:42:00
AUTH,UP,2025-03-11 03:45:00
DB,DOWN,2025-05-09 04:43:00
HTTP,UP,2025-05-06 05:13:00
FTP,UP,2025-05-08 09:45:00
MAIL,UP,2025-04-11 08:44:00
FTP,UP,2025-05-08 07:27:00
FTP,UP,2025-04-05 05:23:00
HTTP,UP,2025-05-16 06:57:00
DB,UP,2025-05-15 16:09:00
HTTP,DOWN,2025-03-29 06:19:00
FTP,DOWN,2025-05-13 11:45:00
AUTH,DOWN,2025-04-10 16:33:00
AUTH,DOWN,2025-04-13 18:23:00
AUTH,UP,2025-05-01 18:13:00
HTTP,UP,2025-04-09 16:30:00
HTTP,DOWN,2025-04-20 04:28:00
AUTH,DOWN,2025-03-20 21:32:00
AUTH,DOWN,2025-05-01 02:58:00
HTTP,DOWN,2025-04-09 06:50:00
FTP,DOWN,2025-05-01 23:16:00
AUTH,DOWN,2025-03-25 01:30:00
MAIL,UP,2025-04-16 11:03:00
MAIL,UP,2025-04-18 12:19:00
MAIL,UP,2025-05-01 15:07:00
MAIL,UP,2025-04-06 06:08:00
HTTP,UP,2025-03-26 12:07:00
FTP,DOWN,2025-05-11 21:05:00
MAIL,UP,2025-03-31 23:31:00
HTTP,DOWN,2025-04-02 04:25:00
HTTP,DOWN,2025-04-29 10:29:00
AUTH,UP,2025-05-13 11:37:00
DB,UP,2025-04-10 09:35:00
MAIL,UP,2025-05-09 07:32:00
HTTP,DOWN,2025-04-11 19:57:00
FTP,DOWN,2025-04-10 23:48:00
HTTP,DOWN,2025-03-15 01:11:00
DB,DOWN,2025-05-08 10:30:00
HTTP,DOWN,2025-04-28 18:33:00
DB,UP,2025-03-12 14:57:00
HTTP,UP,2025-05-11 21:15:00
AUTH,DOWN,2025-05-06 16:16:00
HTTP,UP,2025-03-09 22:39:00
FTP,UP,2025-04-30 00:01:00
DB,UP,2025-03-24 15:59:00
MAIL,DOWN,2025-05-06 04:10:00
HTTP,DOWN,2025-04-11 21:20:00
HTTP,UP,2025-05-04 23:46:00
FTP,DOWN,2025-04-15 13:02:00
DB,DOWN,2025-03-14 10:56:00
MAIL,DOWN,2025-04-17 06:08:00
DB,UP,2025-05-14 15:55:00
DB,DOWN,2025-03-28 16:06:00
AUTH,UP,2025-04-17 14:45:00
MAIL,UP,2025-04-06 08:09:00
FTP,DOWN,2025-03-12 09:44:00
FTP,DOWN,2025-04-01 21:48:00
HTTP,UP,2025-03-19 11:13:00
DB,UP,2025-05-04 21:50:00
DB,UP,2025-04-25 18:30:00
AUTH,UP,2025-05-15 02:55:00
HTTP,DOWN,2025-04-28 04:43:00
MAIL,DOWN,2025-05-08 20:59:00
DB,UP,2025-03-11 08:36:00
FTP,UP,2025-04-16 07:40:00
FTP,DOWN,2025-04-08 00:17:00
MAIL,UP,2025-03-16 21:42:00
MAIL,UP,2025-04-14 14:38:00
FTP,UP,2025-05-12 10:50:00
DB,DOWN,2025-04-11 20:29:00
HTTP,UP,2025-04-22 02:49:00
AUTH,DOWN,2025-04-30 15:12:00
DB,DOWN,2025-05-12 14:16:00
AUTH,DOWN,2025-05-03 00:40:00
HTTP,DOWN,2025-03-19 08:47:00
FTP,UP,2025-05-08 08:55:00
MAIL,DOWN,2025-04-02 16:21:00
MAIL,UP,2025-04-11 15:54:00
DB,DOWN,2025-03-25 09:38:00
MAIL,DOWN,2025-03-24 00:26:00
FTP,UP,2025-03-14 05:43:00
HTTP,DOWN,2025-04-22 03:43:00
DB,UP,2025-05-06 10:47:00
DB,UP,2025-03-18 00:10:00
DB,DOWN,2025-03-12 23:33:00
AUTH,DOWN,2025-03-26 04:29:00
FTP,UP,2025-05-08 16:10:00
HTTP,DOWN,2025-04-16 23:31:00
HTTP,DOWN,2025-05-13 02:57:00
AUTH,UP,2025-03-29 22:00:00
HTTP,UP,2025-05-14 23:13:00
AUTH,DOWN,2025-05-10 22:44:00
HTTP,DOWN,2025-04-09 08:37:00
DB,DOWN,2025-03-18 19:40:00
FTP,DOWN,2025-03-11 00:44:00
MAIL,UP,2025-04-25 23:02:00
FTP,DOWN,2025-04-09 11:50:00
AUTH,DOWN,2025-03-31 09:01:00
FTP,DOWN,2025-04-23 05:05:00
AUTH,UP,2025-05-12 16:34:00
HTTP,UP,2025-03-17 06:28:00
AUTH,DOWN,2025-03-08 14:14:00
AUTH,UP,2025-04-26 09:41:00
HTTP,UP,2025-03-27 23:22:00
MAIL,DOWN,2025-03-24 11:56:00
AUTH,DOWN,2025-04-09 22:18:00
HTTP,UP,2025-03-28 06:21:00
HTTP,DOWN,2025-03-14 11:23:00
MAIL,DOWN,2025-03-08 12:33:00
MAIL,DOWN,2025-04-02 08:11:00
FTP,DOWN,2025-04-25 08:11:00
DB,UP,2025-04-20 09:15:00
DB,UP,2025-04-22 04:22:00
AUTH,UP,2025-04-15 18:00:00
FTP,UP,2025-04-07 06:25:00
HTTP,DOWN,2025-04-10 18:12:00
AUTH,DOWN,2025-03-20 18:43:00
DB,UP,2025-03-29 15:34:00
HTTP,UP,2025-05-01 17:42:00
HTTP,DOWN,2025-04-09 14:17:00
AUTH,DOWN,2025-05-04 12:11:00
AUTH,DOWN,2025-04-27 20:13:00
HTTP,DOWN,2025-04-09 17:02:00
MAIL,DOWN,2025-03-24 19:03:00
AUTH,UP,2025-04-19 17:30:00
DB,UP,2025-04-14 10:27:00
FTP,UP,2025-05-01 16:21:00
DB,DOWN,2025-04-28 06:53:00
AUTH,DOWN,2025-04-19 05:31:00
AUTH,UP,2025-04-16 02:53:00
DB,UP,2025-05-14 15:18:00
MAIL,DOWN,2025-04-11 05:33:00
MAIL,UP,2025-03-21 09:53:00
MAIL,UP,2025-03-28 10:18:00
MAIL,UP,2025-03-15 11:13:00
AUTH,UP,2025-03-28 04:00:00
FTP,DOWN,2025-03-17 02:27:00
HTTP,DOWN,2025-04-29 03:05:00
MAIL,UP,2025-03-23 20:04:00
MAIL,DOWN,2025-03-18 12:56:00
AUTH,UP,2025-04-06 04:17:00
HTTP,UP,2025-05-15 03:41:00
AUTH,UP,2025-05-08 08:43:00
AUTH,DOWN,2025-05-13 20:09:00
AUTH,DOWN,2025-03-08 23:53:00
FTP,DOWN,2025-05-16 12:47:00
MAIL,DOWN,2025-04-23 02:15:00
MAIL,DOWN,2025-04-15 05:28:00
HTTP,DOWN,2025-04-18 00:10:00
DB,DOWN,2025-03-30 09:29:00
DB,DOWN,2025-03-22 06:56:00
AUTH,UP,2025-03-16 15:20:00
FTP,DOWN,2025-05-15 12:31:00
FTP,DOWN,2025-03-25 11:49:00
FTP,DOWN,2025-05-03 11:53:00
MAIL,DOWN,2025-03-22 16:03:00
DB,UP,2025-03-30 16:08:00
DB,DOWN,2025-04-10 23:15:00
AUTH,DOWN,2025-05-10 19:32:00
DB,DOWN,2025-03-24 19:48:00
DB,DOWN,2025-05-06 23:37:00
HTTP,UP,2025-03-22 05:26:00
FTP,DOWN,2025-03-20 15:31:00
AUTH,DOWN,2025-03-19 09:02:00
HTTP,DOWN,2025-05-02 21:36:00
MAIL,UP,2025-03-10 11:20:00
HTTP,UP,2025-04-12 16:53:00
DB,UP,2025-03-28 06:21:00
MAIL,DOWN,2025-04-26 09:48:00
FTP,DOWN,2025-05-02 01:18:00
AUTH,DOWN,2025-04-05 12:08:00
HTTP,UP,2025-05-08 04:14:00
MAIL,UP,2025-04-23 23:44:00
AUTH,DOWN,2025-03-27 14:03:00
DB,UP,2025-05-02 01:07:00
DB,DOWN,2025-03-25 00:13:00
FTP,UP,2025-03-10 22:40:00
MAIL,DOWN,2025-03-22 10:49:00
MAIL,DOWN,2025-04-02 03:23:00
FTP,UP,2025-04-08 20:28:00
DB,UP,2025-03-22 03:45:00
FTP,DOWN,2025-05-04 04:33:00
FTP,UP,2025-04-27 02:15:00
FTP,DOWN,2025-04-14 19:57:00
AUTH,DOWN,2025-04-15 04:15:00
MAIL,UP,2025-04-25 18:44:00
AUTH,DOWN,2025-03-12 15:38:00
MAIL,DOWN,2025-04-20 18:06:00
MAIL,UP,2025-03-29 13:53:00
FTP,DOWN,2025-04-17 20:18:00
HTTP,DOWN,2025-04-26 19:47:00
FTP,DOWN,2025-05-07 06:46:00
MAIL,UP,2025-05-12 19:05:00
DB,DOWN,2025-03-28 15:33:00
AUTH,UP,2025-04-21 01:19:00
DB,DOWN,2025-03-15 08:18:00
FTP,DOWN,2025-05-06 09:03:00
FTP,DOWN,2025-04-26 03:20:00
AUTH,DOWN,2025-03-13 10:57:00
DB,DOWN,2025-03-16 10:51:00
FTP,UP,2025-05-07 06:43:00
AUTH,UP,2025-04-21 09:36:00
HTTP,UP,2025-04-29 07:47:00
AUTH,UP,2025-04-02 16:08:00
MAIL,DOWN,2025-03-18 00:50:00
DB,DOWN,2025-03-13 09:55:00
HTTP,DOWN,2025-04-30 22:44:00
DB,DOWN,2025-05-09 09:25:00
FTP,DOWN,2025-03-12 01:26:00
FTP,UP,2025-05-09 17:50:00
MAIL,UP,2025-04-22 15:41:00
AUTH,DOWN,2025-04-03 18:23:00
FTP,DOWN,2025-03-10 19:10:00
DB,DOWN,2025-04-23 05:04:00
HTTP,DOWN,2025-04-16 08:57:00
MAIL,UP,2025-05-07 19:11:00
MAIL,DOWN,2025-04-29 04:09:00
MAIL,DOWN,2025-03-23 05:36:00
DB,DOWN,2025-04-20 23:31:00
DB,UP,2025-03-15 21:29:00
AUTH,DOWN,2025-04-19 16:33:00
DB,UP,2025-04-06 10:34:00
AUTH,UP,2025-04-18 22:33:00
MAIL,UP,2025-03-21 08:02:00
AUTH,DOWN,2025-05-05 18:39:00
AUTH,DOWN,2025-04-02 23:55:00
MAIL,DOWN,2025-04-28 03:45:00
MAIL,UP,2025-03-10 21:28:00
DB,UP,2025-05-04 20:32:00
HTTP,UP,2025-05-06 00:18:00
HTTP,UP,2025-04-29 05:00:00
HTTP,UP,2025-04-05 05:30:00
HTTP,UP,2025-04-24 17:06:00
AUTH,DOWN,2025-03-28 14:02:00
DB,DOWN,2025-03-15 12:18:00
HTTP,UP,2025-04-25 18:44:00
DB,DOWN,2025-03-13 15:19:00
FTP,UP,2025-03-25 09:49:00
FTP,UP,2025-05-04 11:15:00
HTTP,DOWN,2025-04-26 19:09:00
FTP,UP,2025-04-12 12:38:00
MAIL,UP,2025-04-16 06:09:00
DB,DOWN,2025-05-07 22:04:00
HTTP,UP,2025-03-25 01:16:00
AUTH,DOWN,2025-05-11 03:16:00
DB,UP,2025-03-27 19:51:00
HTTP,UP,2025-03-19 03:09:00
HTTP,DOWN,2025-05-07 10:44:00
DB,UP,2025-03-28 21:43:00
FTP,DOWN,2025-03-16 22:27:00
AUTH,DOWN,2025-03-09 03:49:00
MAIL,DOWN,2025-04-14 14:01:00
HTTP,UP,2025-04-05 05:48:00
DB,DOWN,2025-05-10 21:00:00
AUTH,DOWN,2025-04-23 13:03:00
HTTP,DOWN,2025-05-05 05:55:00
FTP,DOWN,2025-03-30 02:27:00
AUTH,DOWN,2025-05-16 03:23:00
FTP,UP,2025-04-21 10:27:00
FTP,UP,2025-03-23 17:16:00
HTTP,DOWN,2025-04-27 06:58:00
MAIL,DOWN,2025-04-15 22:30:00
HTTP,DOWN,2025-04-04 17:16:00
FTP,DOWN,2025-04-30 15:36:00
FTP,UP,2025-05-12 20:53:00
AUTH,DOWN,2025-04-18 18:15:00
AUTH,UP,2025-04-15 08:59:00
MAIL,DOWN,2025-05-12 13:21:00
AUTH,DOWN,2025-03-10 10:46:00
HTTP,DOWN,2025-04-26 18:41:00
FTP,UP,2025-03-22 21:14:00
MAIL,DOWN,2025-03-21 14:12:00
DB,UP,2025-04-30 10:10:00
DB,DOWN,2025-04-06 02:29:00
AUTH,DOWN,2025-04-03 18:43:00
MAIL,DOWN,2025-04-20 13:29:00
HTTP,DOWN,2025-03-25 20:35:00
MAIL,UP,2025-05-06 16:02:00
MAIL,UP,2025-03-18 11:41:00
AUTH,UP,2025-04-06 13:52:00
DB,DOWN,2025-04-12 19:53:00
HTTP,UP,2025-04-01 07:40:00
MAIL,UP,2025-04-18 12:59:00
FTP,UP,2025-03-09 23:27:00
FTP,DOWN,2025-04-08 17:58:00
AUTH,UP,2025-04-02 16:09:00
FTP,DOWN,2025-04-29 13:57:00
AUTH,DOWN,2025-05-12 02:18:00
FTP,DOWN,2025-03-17 04:09:00
HTTP,DOWN,2025-04-06 23:45:00
DB,UP,2025-05-06 23:31:00
DB,UP,2025-04-19 15:45:00
FTP,DOWN,2025-05-07 12:52:00
DB,UP,2025-05-14 08:16:00
FTP,DOWN,2025-04-20 12:51:00
HTTP,DOWN,2025-04-16 11:19:00
HTTP,UP,2025-04-05 22:07:00
MAIL,DOWN,2025-04-28 06:56:00
HTTP,UP,2025-03-18 04:00:00
MAIL,UP,2025-04-08 22:15:00
HTTP,UP,2025-03-31 18:57:00
DB,UP,2025-04-05 04:38:00
MAIL,DOWN,2025-03-29 06:43:00
MAIL,UP,2025-03-16 11:55:00
DB,DOWN,2025-03-26 06:08:00
DB,DOWN,2025-04-01 14:50:00
DB,UP,2025-03-26 07:14:00
AUTH,DOWN,2025-04-24 08:03:00
AUTH,DOWN,2025-03-21 03:31:00
DB,DOWN,2025-05-05 19:21:00
HTTP,UP,2025-04-05 08:40:00
FTP,DOWN,2025-04-11 00:18:00
DB,UP,2025-03-27 12:45:00
MAIL,DOWN,2025-03-21 07:22:00
FTP,DOWN,2025-03-10 18:17:00
DB,DOWN,2025-04-27 14:42:00
AUTH,DOWN,2025-05-10 04:47:00
MAIL,DOWN,2025-03-29 18:31:00
MAIL,DOWN,2025-04-14 04:04:00
MAIL,DOWN,2025-04-10 21:06:00
HTTP,UP,2025-03-27 21:50:00
DB,UP,2025-05-02 07:18:00
HTTP,DOWN,2025-04-14 08:53:00
DB,UP,2025-03-15 01:12:00
DB,UP,2025-04-13 06:25:00
AUTH,DOWN,2025-05-10 18:56:00
AUTH,UP,2025-03-09 02:14:00
MAIL,UP,2025-03-10 12:09:00
AUTH,UP,2025-04-05 12:07:00
AUTH,UP,2025-03-19 07:14:00
DB,UP,2025-04-27 23:23:00
FTP,UP,2025-03-24 06:00:00
FTP,UP,2025-04-25 12:52:00
MAIL,DOWN,2025-04-26 18:40:00
MAIL,DOWN,2025-03-09 07:08:00
MAIL,UP,2025-03-25 14:36:00
FTP,DOWN,2025-04-07 14:13:00
HTTP,DOWN,2025-04-03 09:06:00
FTP,DOWN,2025-04-05 07:25:00
DB,UP,2025-04-24 18:55:00
AUTH,UP,2025-04-29 06:52:00
FTP,UP,2025-03-24 11:31:00
FTP,UP,2025-05-05 10:42:00
AUTH,UP,2025-05-06 12:01:00
AUTH,UP,2025-05-01 23:04:00
DB,DOWN,2025-04-24 13:12:00
MAIL,UP,2025-04-10 21:32:00
DB,UP,2025-04-21 15:37:00
FTP,DOWN,2025-04-01 13:28:00
FTP,DOWN,2025-04-10 06:24:00
MAIL,DOWN,2025-04-20 23:47:00
HTTP,DOWN,2025-05-01 19:06:00
AUTH,UP,2025-04-26 01:43:00
MAIL,DOWN,2025-04-16 10:43:00
AUTH,UP,2025-04-27 04:05:00
AUTH,UP,2025-05-03 22:50:00
DB,DOWN,2025-03-09 10:41:00
